Tweet,label
诚然 ， 并不 是 说 只要 有 了 正确 的 教育 就 能 促进 青少年 良好 发展 ， 而是 努力 使 在 青少年 今后 的 生活 和 学习 当中 都 勇敢 主动 的 开展 自我 教育 。,1|0|1|0|0|0|0|1
在 社会 大 环境 的 日益 变迁 中 ， 校园 文化 如何 能够 有效 的 抵制 或 避免 社会 暴力 文化 的 侵袭 应该 引 起 更 多 的 人 的 关注 。,0|0|0|0|1|0|0|1
教育 关系 未来 ， 莘莘学子 涉及 命运 。,0|0|0|0|1|0|0|0
我们 每个 人 都 应 该 参与 进来 ， 因为 每个 人 都 是 社会 的 一 分子 。,0|0|0|0|0|0|0|1
热热闹闹 的 春节 即将 结束 了 ， 央视 春 晚 的 节目 评奖 也 出炉 了 。,0|0|1|0|0|0|0|1
大家 看好 的 “ 不 差 钱 ” 、 “ 英伦 组合 ” 、 “ 刘 谦 的 魔术 ” 都 理所当然 地 入围 获奖 节目 前 三 。,1|0|1|0|0|0|0|0
央视 春 晚 之 后 最 有 看点 的 晚会 ， 当然 是 大家 翘首 以盼 的 元宵 晚会 。,0|0|0|0|0|0|0|1
虽然 元宵 晚会 不再 会 有 １２亿 人 虔诚 地 坐 在 电视机 前 ， 盯 着 每 一个 节目 ， 品头论足 —— 但 元宵 晚会 都 是 春 晚 的 颁奖 晚会 ， 除了 揭晓 最 受到 观众 喜爱 的 春 晚 节目 评选 结果 外 ， 还要 对 年 三十 春 晚 那天 被 毙掉 的 部分 节目 再 给 一个 机会 展示 。,1|0|1|0|0|0|0|1
０９ 年 元宵 晚会 最 可能 的 亮点 是 什么 呢 ？,0|0|1|0|0|0|0|1
当然 归 赵本山 师徒 们 上演 《 不 差 钱 》 的 续集 ， 小 沈阳 、 丫 蛋 再次 出下 风头 ， 火上加油 ： ） 炒 个 够本 ， 将 牛年 闹 元宵 闹 到 最 高潮 。,0|0|1|0|0|0|0|0
看 过 新浪 做 的 调查 么 —— 你 觉得 小 沈阳 恶 俗 不 ， 呵 ， 一半 以上 的 ｘｄｊｍ 们 都 觉得 挺 好 的 啊 ， 让 大家 乐 乐 ， 阴阳怪气 娘娘腔 都 是 小 沈阳 的 扮相 ， 无可厚非 。,1|0|1|0|0|0|0|0
当时 有 点 大跌 眼镜 ， 后来 听 东北 的 朋友 说 ， 你们 这些 南方人 ， 肯定 没有 看 过 正宗 的 东北 二人转 …… 赫赫 ， 后面 的 话 就 不 赘 叙 了 ， 免得 被 人 骂 爆头 。,0|0|0|0|1|0|0|0
元宵 晚会 上 ， 出现 小 沈阳 与 师父 赵 本山 和 毕 福剑 、 毛毛 四 人 再度 携手 ， 谱写 《 不 差 钱 》 续集 的 可能性 是 很 高 的 ， 首先 赵 本山 和 小 沈阳 本人 肯定 愿意 趁热打铁 （ 君不见 小 沈阳 现在 有 多 高调 么 ， 写 博客 、 上 节目 啥 的 ｈｏｈｏ ） ， 为 回报 观众 原班 人马 继续 排演 一个 节目 也 属 情理 之中 。,0|0|1|0|0|0|0|1
另外 ， 《 不 差 钱 》 表演 续集 ， 从 春 晚 跨度 到 元宵 晚会 ， 其 本身 就 是 一 种 资源 的 再 开发 、 再 延伸 、 再 使用 ， 这种 贯通 对于 传统 节日 晚会 提升 质量 和 价值 ， 形成 新 看点 有好处 ， 因为 除了 春 晚 其它 传统 节日 晚会 也 应该 给予 足够 的 重视 —— 春 晚 的 编 剧组 们 ， 当然 也 知道 这 是 个 很 好 的 噱头 ， 而 元宵 晚会 的 收视率 没有 个 很 好 的 噱头 ， 怎么 能 吸引 人 再 来 看 呢 。,1|0|1|0|1|0|0|1
续集 据说 内容 会 是 ： 小 沈阳 和 丫 蛋 都 已经 随着 毕 福剑 赴 京 ， 参加 《 星光 大道 》 ， 丫 蛋 爷爷 主动 请缨 要 当 评委 ， 情节 就 这样 慢慢 展开 了 …… 当 上 评委 ， 丫 蛋 她 爷爷 自然 还是会 偏向 孙女 ， 对 小 沈阳 又 挑 刺 又 挖苦 …… 最终 的 结果 ， 就 不 说 了 ， 给 大伙儿 一个 悬念 ， 明儿 看吧 。,0|0|0|0|0|0|0|1
最后 说下 软 广告 ： 这 《 不 差 钱 》 里 生搬硬套 的 那 啥 一下 吧 ， 老赵 说 过 ， 丫 蛋 说 过 ， 老 毕 也 说 了 ， 不过 好歹 也 给 《 星光 大道 》 这本 身 就 是 一档 平民 的 才艺 选 秀 做 了 下 宣传 ， 鼓励 民间 的 有才 之 士 都 来 参与 之 （ 不 能 靠 走后门 哈 ）,1|0|1|0|0|0|0|0
今年 经济危机 ， 分 众 传媒 等 做 广告 的 大家 们 ， 是否 要 开动 脑筋 想想 咋 滴 做好 不动声色 的 广告 ＾＿＾,0|0|0|0|1|0|0|1
近日 ， 一 组 “ 安徽 蚌埠 国土 资源 局 消费 账单 ” 的 图片 开始 在 网络 上 流传 ， 内容 为 该局 在 一家 酒店 的 几 张 消费 结账 单 ， 单张 结账 单 的 金额 超过 万 元 。,0|0|0|0|0|0|0|0
国土局 回应 称 是 “ 旧账 ” ， “ 现在 又 发 出来 ， 可能 是 有人 借题发挥 ， 故意 炒作 ” 。,0|1|0|0|0|0|0|0
（ 《 新安 晚报 》 １月 ２１日 报道 ）,0|0|0|0|0|0|0|0
跟 此前 的 几 起 “ 晒 清单 ” 事件 相比 ， 蚌埠 国土局 的 回应 算是 比较 及时 的 ， 回应 内容 也 比较 清晰 明确 ： 其一 ， 清单 属实 ， 吃喝 属实 ； 其二 ， 这 是 “ 旧账 ” ， 疑似 个别 “ 别有用心 者 ” 故意 炒作 。,0|1|0|0|0|0|0|0
“ 土地爷 ” 的 言下之意也很 明显 ： 请 广大 人民 群众 一定 要 擦亮 双眼 ， 千万 不要 “ 不明真相 ” 、 被 个别 人 忽悠 了 。,0|0|0|0|1|0|0|0
大家 所 关心 的 清单 真假 问题 终于 水落石出 ， 也算 是 一 大 幸事 吧 。,1|0|0|0|0|0|0|0
“ 土地爷 ” 真 逗 ， 公款 吃喝 还有 “ 旧账 ” 、 “ 新 账 ” 之 分 。,0|1|0|0|0|0|1|0
“ 旧账 ” 就 对 吗 ？,0|0|0|0|1|0|1|0
就 可以 既往不咎 吗 ？,0|0|0|0|1|0|1|0
暴露 的 “ 旧账 ” 是 这么 多 ， 还有 多少 “ 旧账 ” 已经 被 “ 处理 ” 掉 了 ？,0|1|0|0|1|0|0|0
为了 防止 某些 人 继续 拿 那些 “ 旧账 ” 炒作 ， 你们 何不 干脆 一股脑 把 所有 的 “ 旧账 ” 都 公布 一下 呢 ？,0|0|0|0|0|0|1|1
既 堵住 了 个别 人 炒作 的 漏洞 ， 又 让 我们 升 斗 小民 见识 了 “ 土地爷 ” 的 幸福 生活 ， 何乐而不为 呢 ？,0|1|0|0|1|0|1|1
“ 旧账 ” 所 对应 者 ， 乃 “ 新 账 ” 也 。,0|0|0|0|0|0|0|0
不 知道 “ 土地爷 ” 公款 吃喝 的 “ 光荣 传统 ” 还 在 坚持 吗 ？,0|1|0|0|1|0|1|0
如果 还 在 照 吃 不 误 ， 是否 也 与时 俱进 、 更上一层楼 了 呢 ？,0|1|0|0|1|0|0|0
过去 吃 一万 ， 现在 吃 多少 ？,0|0|0|0|1|0|1|0
过去 喝 茅台 牌 “ 节约 酒 ” ， 现在 喝 啥 ？,0|0|0|0|1|0|1|0
过去 抽 ７５０ 元 一 条 的 中华 烟 ， 现在 换 成 １５００ 一 条 的 “ 至尊 烟 ” 没有 ？,0|0|0|0|1|0|1|0
不要 怪我 想像力 过于 丰富 ， 现在 某些 部门 和 某些 官员 的 作为 ， 经常 能 超越 我们 的 想像力 ， 只有 我们 想 不 到 ， 没有 他们 做 不 到 啊 。,0|0|0|0|1|0|1|0
因此 ， 为了 彻底 澄清 事实 、 挽回 自己 的 光辉 形象 ， 我 建议 “ 土地爷 ” 主动 晒晒 自己 的 账目 ， 并且 “ 旧账 ” 、 “ 新 账 ” 一 起 晒 。,0|0|0|0|0|0|0|1
当然 ， 你们 自己 自说 自话 是 没有 公信力 的 ， 最 可行 的 方法 是 邀请 审计 部门 和 纪检 部门 到 你们 单位 去 查 查账 —— 如果 能够 再 邀请 几 位 社会 各界 群众 作 个 见证 ， 那 就 更 好 了 。,1|0|0|0|0|0|0|1
又 下雪 了 。,0|0|0|0|0|0|0|0
大年 二十九 的 一 场 大雪 ， 苍茫 大地 ， 银装素裹 ， 景致 倒是 好 的 。,1|0|1|0|0|0|0|0
在 温室 效应 下 ， 已 好 几 年 少见 雪 踪 了 ， 今年 的 雪 却 下得 格外 勤 ， 刚 开始 带 给 人们 的 是 惊喜 ， 接着 带来 的 却 是 灾 。,0|0|0|1|1|0|0|0
大批 返乡 心切 的 人们 滞留 在 异乡 ， 有人 竟 为此 付出 了 生命 。,0|0|0|1|0|0|0|0
有 媒体 以 “ 用 生命 换 得 一 条 回家 的 路 ” 为 题 作 了 专题 报道 ， 那 盼儿 回来 的 母亲 盼 来 的 不 是 活生生 的 人儿 ， 却 是 一 把 骨灰 ， 读 了 让 人 唏嘘 。,0|0|0|1|0|0|0|0
本想 在这 春节 去 远处 散心 ， 想想 还是 省 了 吧 。,0|0|0|1|0|0|0|0
在网 上 以 微尘 的 名字 通过 红十字会 给 受灾 地区 捐 了 点 款 。,0|0|0|1|0|0|0|1
网 银 支付 成功 的 那 一刻 ， 轻 叹 一 声 ， 叹气 是 因为 自己 真的是 微尘 ， 所 能 做 的 只 能 是 尽 一 点 点心 罢 了 。,0|0|0|1|1|0|0|0
想想 那 千 里 之 外 饱受 雪灾 之 患 的 人们 ， 需要 的 也许 不 是 什么 印 在 纸 上 的 货币 ， 他们 渴望 的 也许 就 是 平安 与 团聚 。,0|0|0|1|0|0|0|1
曾经 以为 人生 如 华美 的 乐章 ， 总 要 拼 尽 全力 奏 出 最 强音 。,0|0|0|0|0|0|0|1
也 曾经 觉得 生命 是 一朵花 ， 要 不 停 地 努力 直到 怒放 ， 哪怕 怒放 了 就 凋谢 ， 也 要 怒放 。,0|0|0|0|0|0|0|1
经历 过年 少 的 轻狂 ， 也 走过 青春 的 迷惘 ， 终于 慢慢 明白 ， 人生 如 在 急流 中 湍 行 ， 颠簸 流 离 ， 时刻 都 可能 翻 入 湍流 之中 ， 能 找到 心中 的 芳 汀 则 罢 ， 虽 无法 找到 而 能 平安 到达 终点 ， 也 是 一 种 幸福 ， “ 平安 即 福 ” 。,0|0|1|0|0|0|0|1
人生 如 白 朐 过 隙 ， 弹指一挥间 ， 世界 万物 都 是 无常 ， 就 如 那 涌动 的 河流 ， 每天 都 是 新 的 ， 每 一刻 都 是 不一样 的 。,0|0|0|0|0|0|0|1
我们 永远 无法 知道 下 一刻 等待 我们 的 是 什么 ， 是 幸福 ？,0|0|0|0|0|0|0|1
是 安宁 ？,0|0|0|0|0|0|0|1
是 如常 ？,0|0|0|0|0|0|0|1
还是 灾难 ？,0|0|0|0|1|0|0|0
看 多 了 别人 的 悲欢离合 ， 也 受尽 了 自己 的 起起伏伏 ， 此刻 ， 内心 平静 如 水 ， 只 涌动 着 这样 一 种 情愫 ： 每 一个 在 生命 的 河流 中 跋涉 的 人们 ， 无论 是 相识 的 ， 不 相识 的 ； 无论 是 咫尺 ， 还是 天涯 ； 无论 你 正 行色 匆匆 ， 还是 已 返 归 故里 ， 都 愿 上天 能 赐 你们 平安 ， 幸福 ， 与 团圆 。,0|0|0|0|0|0|0|1
我 送 你 离开 ， 天涯 之 外 。,0|0|0|1|0|0|0|0
我等 你 归来 ， 千 里 之 外 。,0|0|0|0|0|0|0|1
此刻 ， 灯 下 的 我 ， 缓缓 将 手 合 于 胸前 ， 让 祝福 平安 的 祈祷 划 过 藏 在 心 间 的 每 一个 名字 ： 莲 、 ＪＥＮＮＹ 、 谷 心 、 卓玛 、 一 花 、 歆 雯 、 云 在 青山 、 韵 、 球 球 、 紫 娃 、 ＤＡＮＮＹ 、 唐吉柯德 、 都市 漫游 ， 还有 那 渐 行 渐 远 的 墨色 和 丫头 ， 以及 那 许许 多多 给 过 我 温暖 和 支持 的 朋友 。,0|0|1|0|0|0|0|1
屋檐 如 崖 ， 风铃 如 海 ， 是 燕 终究 要 衔泥 归来 。,0|0|1|0|0|0|0|1
在这 被 鞭炮 和 焰火 淹没 的 晚上 ， 我 轻轻 地 撩 起 窗帘 ， 看 远处 一扇扇 窗户 里 透 出来 的 温馨 故事 ， 微笑 如 水 墨 在 脸上 晕 开 ， 无论 是 相识 的 ， 还是 不 相识 的 ， 愿 离 人 早 归 ， 愿 有情 人 终 聚 ， 愿 每 一家 都 幸福 安康 。,0|0|0|0|0|0|0|1
城市 的 夜场 ， 放纵 着 夜行人 的 寂寞 。,0|0|0|1|1|0|0|0
当 压抑 随 扭动 的 腰肢 幻化 成 激情 澎湃 时 ， 那 昔日 的 痛苦 、 无奈 、 失意 、 彷徨 、 委屈 、 烦恼 ， 仿佛 变成 了 劲 爆 的 音符 ， 敲打 在 夜的 弦 上 。,0|0|0|1|1|0|0|0
一曲 终了 ， 眼泪 横流 。,0|0|0|1|0|0|0|0
面对 闪烁 地 银屏 ， 偶尔 会 想念 那一 对 昔日 的 恋人 。,0|0|1|0|0|0|0|0
悠悠 月光 下 ， 他 为 她 奏响 的 那一 曲 千古 相思 。,0|0|1|0|0|0|0|0
莹莹 飞 雪中 ， 她 为 他 唱 起 的 那一 首 爱情 童话 。,0|0|1|0|0|0|0|0
几乎 所有 的 人 都 会 为 他们 祝福 ， 也 都 会 理所当然 地 认为 ， 他们 会 有 情人 终成 眷属 。,1|0|1|0|0|0|0|0
然而 毕业 ， 带走 了 他们 的 梦想 ， 同时 也 带走 了 他们 的 爱情 。,0|0|0|1|0|0|0|0
一南 一 北 ， 遥远 的 不 是 距离 ， 而是 曾经 紧紧 拥抱 过 的 两 颗 心灵 。,0|0|0|1|0|0|0|0
当 他们 在 各自 的 世界 里 ， 各自 寻找 所谓 的 真爱 时 ， 才 发现 ， 爱情 与 婚姻 真的 不 能 混为一谈 。,0|0|0|1|1|0|0|0
偶尔 的 思念 ， 会 让 他们 的 记忆 重新 回到 那 所 美丽 的 校园 。,1|0|1|0|0|0|0|0
回忆 ， 是 一 件 可怕 的 东西 ， 它 会 被 现实 一次次 镇压 。,0|1|0|0|1|0|1|0
让 他们 相信 ， 所谓 缘分 ， 就 是 爱情 成功 时 的 理由 ， 爱情 失败 时 的 借口 。,0|1|0|1|0|0|0|0
当 两 个 人 穿越 红尘 ， 无法 在 原地 打转 时 ， 丢掉 了 的 感情 ， 却 成 了 回忆 的 佐料 。,0|0|0|1|0|0|0|0
每天 的 生活 ， 从 拿 着 早餐 盒子 挤 公车 的 清晨 开始 ， 在 踩 着 最后 一 抹 夕阳 结束 。,0|0|0|1|0|0|0|0
还要 在 疲惫 的 台灯 下 计算 着 下次 还款 的 日期 。,0|1|0|0|1|0|0|0
幸福 是 什么 ？,0|0|1|0|0|0|0|0
范伟 说 ， 幸福 就 是 ： 我 饿 了 ， 看见 别人 手 里 拿 个 肉包子 ， 他 就 比 我 幸福 ； 我 冷 了 ， 看见 别人 穿 了 件 厚 棉袄 ， 他 就 比 我 幸福 。,1|0|1|0|0|0|0|0
一直以来 ， 都 固执 地 认为 ， 每个 人 每天 的 奔波 劳碌 ， 其实 都 是 为了 追寻 自己 的 幸福 。,0|0|0|1|1|0|0|0
然而 幸福 是 什么 ， 却 一直 也 没有 深刻 地 、 明显 地 体会 到 。,0|0|0|1|1|0|0|0
那 应该 是 一 种 感觉 ， 一 种 与 金钱 和 地位 没有 直接 联系 的 感觉 。,1|0|1|0|0|0|0|0
它 不 受 生活 状态 的 制约 ， 而是 取决于 人 的 心态 。,1|0|1|0|0|0|0|0
幸福 ， 有时 很 简单 ， 简单 得 就 是 一瞬间 的 感觉 ， 一 种 瞬间 的 情绪 ， 一 种 瞬间 的 满足 。,1|0|1|0|0|0|0|0
回首 身后 的 脚印 ， 深深 浅浅 ， 歪歪扭扭 。,0|0|0|1|1|0|0|0
有 成功 的 辉煌 ， 也 有 失败 的 苦楚 。,0|0|0|1|1|0|0|0
翻开 情感 的 扉页 ， 那里 依旧 鲜活 地 记录 着 自己 的 初衷 ： 在这 个 世界 上 ， 谁 也 不 是 谁 的 谁 。,0|0|0|1|1|0|0|0
从来不 相信 会 有 一 种 感情 可以 铭记 三 生 ， 从来不 会 相信 有 一 种 誓言 可以 永垂 不朽 ， 也 从来不 会 相信 有 谁 会 爱 谁 一辈子 。,0|0|0|1|1|0|0|0
那 只是 一 种 冲动 ， 一 种 情感 作用 下 的 语言表达 。,0|1|0|0|0|0|1|0
当 繁重 的 生活 与 残酷 的 现实 袭 来 ， 那 美丽 的 爱情 就 会 如 沙雕 般 随 潮水 褪 去 ， 只留下 平静 的 一 地 黄沙 。,0|0|0|1|0|0|0|0
谁 会 是 谁 的 幸福 ， 谁 又 会 是 谁 的 劫难 ， 没有人 能 说 清 。,0|0|0|1|0|0|0|0
时间 在 平凡 的 日子 里 ， 缓缓 地 流动 。,0|0|1|0|0|0|0|0
岁月 静 好 ， 生活 依旧 。,1|0|1|0|0|0|0|0
许多 故事 在 重演 ， 许多 故事 又在 沉积 ， 这 是 一个 过程 ， 一个 回忆 的 形成 ， 一 段 历史 的 凝固 。,1|0|1|0|0|0|0|0
当 生活 褪 去 华丽 的 外衣 ， 只剩下 生存 的 时候 ， 幸福 在 哪里 ？,0|0|0|1|1|0|0|0
是 梦魇 中 经常 浮现 的 那张 面孔 ， 还是 身边 为了 自己 而 努力 打 拼 的 人 呢 ？,0|0|0|0|1|0|0|0
天 渐渐 凉 了 夏季 已 悄悄 过去 ， 秋老虎 早已 收起 夏日 余威 逃 之 遥遥 了 无 踪迹 。,1|0|0|0|0|0|0|0
晚上 穿 件 短袖 体恤 从 外面 回来 已 挡 不 住 瑟瑟 的 秋风 带来 的 阵阵 寒意 。,0|0|0|0|1|0|0|0
告别 知心 好友 刚刚 回到 家 坐下来 写 完 当天 日记 然后 静静 地 坐下来 只 想 反思 近期 以来 涉足 过 的 “ 不良 轨迹 ” ， 不禁 想起 悄然 过去 的 一 次 我为 自己 制造 的 恶作剧 还是 忍 不 住 自嘲 地 笑 了 起来 ；,1|0|1|0|1|0|0|0
还 记得 立秋 那天 上午 接到 电话 出去 办 了 几 件 不 能 再 拖延 的 事情 回 到 家 已经 是 下午 三点 多 了 。,0|0|0|0|1|0|0|0
晴朗 的 天空 耀眼 的 阳光 依旧 象 往日 一样 照射 整个 城市 但 已 收敛 了 炎炎夏日 的 威风 增添 了 许多 沉闷 气氛 。,0|1|0|0|1|0|0|0
早 上 接到 电话 心情 超 爽 ， 从 壁柜 里 拽 一 把 防 紫外线 淡色 小花 伞 带 上 墨镜 锁门 出去 直到 下午 三点 多 钟 回到 家 热情 仍然 不 减 ， 进门 甩掉 高跟鞋 直奔 空调 开关 而 去 ； 慢 ！,1|0|0|0|0|0|0|0
就 这样 让 继续 享受 免费 桑 拿 不 好么 ？,1|0|1|0|0|0|0|1
为了 达到 免费 桑拿 带 给 我的 最 大 “ 收益 ” ， 于是 打开 我的 ‘ 丹 琴 ’ 塞 一 盘 碟子 进去 边 做 清洁 边 欣赏 歌曲 。,1|0|0|0|0|0|0|1
当 那 首 欢快 的 ‘ 台湾 慢 摇 ’ 舞曲 开始 随着 第一 句 歌词 ； 来吧 宝贝 飘 进 耳鼓 立即 丢掉 手中 擦 地 的 抹布 踏 着 节拍 跳 起 了 ‘ 拉丁 ’ 独舞 。,1|0|0|0|0|0|0|0
热 ， 汗流浃背 ； 脱 ， 门窗 紧 闭 俺 也 偷偷 来 个 三点式 ； 不够 刺激 ， 加大 音量 再 跳 再 脱 ！,1|0|0|0|0|0|0|0
哈 ， 再 脱 就 赤裸裸 了 呀 。,1|0|0|0|1|0|0|0
音乐 嘎然 而 止 ； 站 在 镜子 前面 第一 次 这么 细致 地 观察 水珠 从 自己 高低 不平 的 酮体 里 往 外 挤 ， 试想 如果 这些 水珠 从 肉体 里 挤 出来 就 是 五彩 缤纷 的 颜色 的 那 该 多么 美 ？,1|0|1|0|0|0|0|1
不行 ， 要 为 自己 创造 一 回 奇迹 哪怕 是 瞬间 我 得 让 自己 充分 暴 一 回 光 ； 说 时 迟 那时快 拉开 窗帘 扒开 窗 ， 一 秒 、 两 秒 、 三 秒 ， 啪 ！,1|0|0|0|0|0|0|1
关窗 。,0|0|0|0|0|0|0|0
此时 一阵 凉风 吹 进来 ， 嘿嘿 真 爽 ！,1|0|0|0|0|0|0|0
拜拜 ， 走 了 ， 洗澡 去 了 ． ． ． ． ．,1|0|0|0|0|0|0|0
窗外 雨声 绵绵 ， 丝丝 雨滴 从 窗棂 飘 过 ， 留下 了 它 的 印记 。,0|0|1|0|0|0|0|0
玻璃 模糊 的 看 不 到 你 挥舞 的 双手 ， 只 听见 你 亲切 的 叫 着 兰 儿 。,0|0|1|0|0|0|0|0
我不 知道 怎么 去 接受 你 那样 的 呵护 ， 我心 里 怕 ， 我也不知道 自己 在 担心 什么 。,0|0|0|0|1|0|0|0
你 在 雨中 等 了 我 很 久 ， 你 这 个 傻瓜 ， 连 个 雨伞 也 不用 ， 衣服 湿 透 了 ， 贴 在 你 瘦弱 的 肩膀 上 。,0|0|0|0|1|0|0|0
知道 吗 ？,0|0|0|0|1|0|0|0
其 实在 那 一瞬间 ， 我 确实 有 过 一丝 的 感动 ， 可是 我像 只 没有 自由 的 小鸟 ， 永远 飞 不 出 那 扇 紧 闭 的 窗户 。,0|0|0|1|0|0|0|0
我 一直 在 心 里 祈祷 ： 希望 雨 快 点 停下 。,0|0|0|0|0|0|0|1
因为 我 怕 雨 把 你 淋 坏 了 ， 我心 疼 。,0|0|0|0|1|0|0|0
你 看到 了 吗 ？,0|0|0|0|1|0|0|0
我的 心 在 和 你 一起 跳动 ， 一 起 被 雨水 洗礼 ， 也许 这 场 雨 会 叫 我们 都 清醒 。,0|0|1|0|0|0|0|0
在 你 的 心里 ， 也许 我 胜过 妻子 ， 胜过 朋友 ， 胜过 红颜 …… 可是 我却 不 敢 接近 你 ， 因为 我 怕 你 知道 兰 儿 的 心 ， 怕 自己 的 心 抵挡 不 了 你 征服 的 欲望 。,0|0|0|0|1|0|0|0
你 对 兰 儿 说 过 ： 曾经 为了 名利 失去 朋友 ， 为了 地位 变成 了 一个 冷漠 的 人 ， 这样 的 成功 反而 叫 你 感到 很 失落 ， 很 孤独 。,0|0|0|1|0|0|0|0
你 说 我是 上帝 派 来 的 天使 ， 每次 和 我 谈心 都 会 有 甜蜜 的 感觉 。,0|0|1|0|0|0|0|0
我不 想 在心 里 默认 你 是 蓝 颜 ， 你 却 总是 悄悄的 关心 我的 起居 。,0|0|1|0|0|0|0|0
在 我 面前 ， 你 把 最 真实 的 一 面 毫无 保留 的 展现 出来 。,0|0|1|0|0|0|0|0
有时 你 像 哥哥 ， 有时 你 像 恋人 ， 有时 你 像 朋友 ， 但是 你 的 亲切 始终 存在 。,0|0|1|0|0|0|0|0
你 就 像 那天 上 的 风筝 ， 很 漂亮 ， 有 很多 人 喜欢 ， 我却 只 带 着 欣赏 的 目光 注视 它 ， 任由 它 飞 到 不同 的 地方 。,0|0|1|1|0|0|0|0
看着 窗外 淅淅 沥沥 的 雨 ， 你 依旧 站 在 那里 ， 我知道 你 心里 在 渴望 我 突然 出现 在 你 面前 。,0|0|0|1|0|0|0|1
你 错 了 ， 可是 你 不 知道 ， 却 在 心里 埋怨 我的 无情 。,0|0|0|1|0|0|0|0
生活 中 有 多少 蓝 颜 、 红颜 ， 最后 却 导致 了 爱情 的 悲剧 。,0|0|0|1|1|0|0|0
因为 人 是 有 感情 的 ， 因为 倾诉 而 知心 ， 因为 知心 而 知己 ， 因为 知己 而 相爱 。,0|0|1|0|0|0|0|0
让 雨声 捎 去 我对 你 的 思念 ， 让 你 的 心 就此 平静 ， 今生今世 ， 也许 你 是 我 唯一 的 知己 ， 你 却 永远 不 是 我 的 蓝 颜 。,0|0|1|1|0|0|0|1
相约 几 个 朋友 喝茶 聊天 ， 我们 聊 起 了 最近 的 一部 电影 《 见 龙 卸甲 》 ； 一 朋友 突然 问 我 在 三 国 人物 谱 里 最 欣赏 谁 ， 我 脱口而出 “ 曹操 ” ；  朋友 们 都 一脸 惊呼 的 问我 理由 是 什么 ？,0|0|1|0|0|1|0|0
还 说 他们 一直 以为 我会 说 “ 诸葛 亮 ， 赵云 亦或 其他 …… ”,0|0|0|0|0|0|0|0
